start	end	text
0	1560	Hair which looks like this.
1560	3680	Used to look like this only a year ago.
3680	5200	So let me show you my hair well in routine
5200	6320	which helped me achieve it.
6320	8480	First thing I am gonna do is just literally brush my hair.
8480	9520	This is the Flexi Flow.
9520	10960	The bristles move independently
10960	13200	which means it's super gentle, doesn't pull up my hair
13200	15880	and just literally gets rid of any knots in like a second.
15880	17880	Next, I take my nature spell applicator,
17880	20480	take off the lid and I grab my oils of choice.
20480	23160	For me, my all time favourites have to be rosemary
23160	24920	and botanite oil together.
24920	28080	Now, rosemary oil has been viral for tonight,
28080	29600	like over a year now I'd say
29640	31880	because it is gonna help you achieve Rapunzel hair.
31880	33280	It's basically what I'm gonna say.
33280	35480	This applicator, by the way, has got little indentations.
35480	37240	I go up to the one ounce mark.
37240	39320	So half of this and half of the other oil.
39320	40800	And then botanite oil is super rich
40800	42640	in antioxidants and fatty acids.
42640	45440	So this is great if you're trying to improve hair elasticity.
45440	46720	So if you've got really brittle hair
46720	48280	which snaps at a certain point,
48280	49720	start incorporating this and yeah,
49720	51360	that's how you will see a big change.
51360	53120	So this little applicator, at the end of the comb
53120	54480	has tiny holes at the bristles
54480	56440	which means it evenly dispests product for your scalp,
56440	57760	literally doing the hard work for you.
57760	59120	So let's get straight into it.
59120	61120	Once your hair is brushed, I start,
61120	62840	I do either side of the scalp first.
62840	64200	You literally take the product,
64200	66120	as you can see it slowly comes through the combs,
66120	69960	gently squeeze and run backwards like this for your hair.
69960	72800	Sorry, mess free, takes a couple of seconds
72800	75640	and is evenly dispersing all of that oil.
75640	77440	And even that feels really good.
77440	79240	And make sure when you are doing your hair oiling,
79240	81160	you are gently squeezing and going all the way down
81160	82480	the back like towards your neck.
82480	84520	And then flip your hair over the other side
84520	85600	and do the underneath.
85600	87320	Let me try and show you as well.
89440	90800	With the little residue,
90800	93360	just run it through the mid and ends of your hair.
95360	98160	Start massaging this in your scalp.
98160	100720	And I do this scalp massage for about 10 minutes.
100720	102640	This is really gonna help simulate the hair,
102640	105880	follicles and encourage Rapunzel, baby.
105880	108120	And no, this doesn't hurt, it feels really nice.
108120	109440	And then after you scalp massaging,
109440	111040	I'm going back in with my flexi-fly.
111040	112920	I wouldn't recommend doing this with any other hair brush.
112920	114920	It's just because this has got a specific design
114920	116680	that is not gonna cause damage of my hair.
116680	118240	But basically, I'm gonna brush my hair
118240	120400	and put it in like a loose pony,
120400	123040	just to let this oil settle for a good few hours.
123040	123880	And then like I say,
123880	126040	I'm just gonna leave this in my hair for a few hours
126040	127360	before washing out.
127360	129000	My tips for when washing it out,
129000	129920	the best thing to do is use
129920	132200	the salt-free growth shampoo and conditioner range,
132200	133440	because I feel like it just makes my hair
133440	136440	feel squeaky, squeaky clean without stripping it at all.
136440	138560	And like I said, you can actually put shampoo in this
138560	139760	so that when you press this button,
139760	141200	it gets versus through this hole.
141200	142120	So while you're in the shower,
142120	143840	you can still use this to scrub your head,
143840	144760	and it's just gonna really help
144760	146240	with getting rid of any residue.
146240	148080	And then yeah, just make sure you're shampooing
148080	150320	twice, three times if you're up to your knee too,
150320	151600	and conditioner is normal.
151600	153240	And that is it, I do this twice a week.
153240	155200	And yeah, my hair has never looked no felt better.
155200	156440	Thanks for joining me while I did my hair,
156440	158560	we're well in, and make sure you start doing it.
158560	159400	So...
